,Stage Name,Full Name,Date of Birth,Group,Country,Height,Weight,Gender,Year of Birth,Age
312,Eun,Choi Eunmi,1990-05-14,Two X,South Korea,0,0,F,1990,33
313,Euna,,2003-05-25,We;Na,South Korea,164,0,F,2003,20
314,EunB,Shin Eunbi,2000-09-17,Maka Maka,South Korea,0,0,F,2000,23
315,EunB,Byun Eunbi,2000-11-23,PRECIOUS,South Korea,164,49,F,2000,23
316,Eunbi,Kwon Eunbi,1995-09-27,IZ*ONE,South Korea,0,0,F,1995,28
317,Eunbin,Kwon Eunbin,2000-01-06,CLC,South Korea,167,48,F,2000,23
318,Eunchae,Kwon Chaewon,1999-05-26,DIA,South Korea,0,0,F,1999,24
319,Eunchae,Son Eunchae,1999-10-06,bugAboo,South Korea,154,38,F,1999,24
320,Eunchae,Hong Eunchae,2006-11-10,LE SSERAFIM,South Korea,172,0,F,2006,17
321,Eunchan,Choi Byeongseop,2001-02-27,TEMPEST,South Korea,184,0,M,2001,22
322,Eunha,Jung Eunbi,1997-05-30,VIVIZ,South Korea,163,0,F,1997,26
323,Eunho,Shin Donggeun,1992-09-10,UNVS,South Korea,0,0,M,1992,31
324,Eunho,Myung Eunho,2001-03-25,YOUNITE,South Korea,0,0,M,2001,22
325,Eunhyuk,Lee Hyukjae,1986-04-04,Super Junior,South Korea,176,58,M,1986,37
326,Eunice,Heo Sooyeon,1991-09-02,DIA,South Korea,166,49,F,1991,32
327,Eunil,Kim Eunil,2003-11-21,TRENDZ,South Korea,0,0,M,2003,20
328,Eunjae,Kwak Eunjae,1996-05-02,14U,South Korea,0,0,M,1996,27
329,Eunji,Jung Eunji,1993-08-18,Apink,South Korea,163,0,F,1993,30
330,Eunji,Hong Eunji,1992-07-19,Brave Girls,South Korea,0,0,F,1992,31
331,Eunjin,Ahn Eunjin,1997-08-31,,South Korea,170,49,F,1997,26
332,Eunjin,Ma Eunjin,1997-05-23,Playback,South Korea,165,49,F,1997,26
333,Eunjin,Moon Eunjin,1998-11-05,Highteen,South Korea,0,0,F,1998,25
334,Eunjo,Park Eunjo,2002-03-07,Dreamnote,South Korea,164,46,F,2002,21
335,Eunjun,Choi Eunjun,1999-08-06,AIMERS,South Korea,0,0,M,1999,24
336,Eunjung,Ham Eunjung,1988-12-12,T-ara,South Korea,167,47,F,1988,35
337,Eunki,Hong Eunki,1997-09-29,,South Korea,182,0,M,1997,26
338,Eunkwang,Seo Eunkwang,1990-11-22,BtoB,South Korea,173,62,M,1990,33
339,Eunsang,Lee Eunsang,2002-10-26,YOUNITE,South Korea,180,58,M,2002,21
340,Eunseo,Son Juyeon,1998-05-27,WJSN,South Korea,167,0,F,1998,25
341,Eunsung,Lee Eunsung,2000-09-07,TheEastLight,South Korea,0,0,M,2000,23
342,Eunwoo,Jeong Eunwoo,1998-07-01,Hinapia,South Korea,167,48,F,1998,25
343,Eunwoo,Cha Eunwoo,1997-03-30,ASTRO,South Korea,0,0,M,1997,26
344,Eunyoung,Joo Eunyoung,1992-06-12,Two X,South Korea,0,0,F,1992,31
345,Exy,Chu Sojung,1995-11-06,WJSN,South Korea,166,0,F,1995,28
346,Eyedi,Nam Yujin,1995-12-08,,South Korea,0,0,F,1995,28
347,Fatou,Fatou Samba,1995-03-23,Blackswan,Belgium,173,0,F,1995,28
348,Fei,Wang FeiFei,1987-04-27,miss A,China,165,0,F,1987,36
349,Felix,Lee Youngbok,2000-09-15,Stray Kids,South Korea,0,0,M,2000,23
350,G-Dragon,Kwon Jiyong,1988-08-18,BIGBANG,South Korea,177,58,M,1988,35
351,G.NA,Gina Jane Choi,1987-09-13,,Canada,167,0,F,1987,36
352,G.O,Jung Byunghee,1987-11-06,MBLAQ,South Korea,0,0,M,1987,36
353,Gabi,Gabriela Strassburger Dalcin,2002-11-07,Blackswan,Brazil,172,0,F,2002,21
354,Gabin,Kim Gabin,1989-09-18,Blady,South Korea,0,0,F,1989,34
355,Gabin,Yoo Seunghyun,2001-09-11,JWiiver,South Korea,0,0,M,2001,22
356,Gaeul,Park Gaeul,1999-05-08,Favorite,South Korea,164,48,F,1999,24
357,Gaeul,Kim Gaeul,2002-09-24,IVE,South Korea,166,46,F,2002,21
358,Gaeun,Cho Kaeun,1992-07-28,,South Korea,0,0,F,1992,31
359,Gaeun,Oh Gaeun,2005-11-08,LIMELIGHT,South Korea,165,0,F,2005,18
360,Gaeun,Lee Gaeun,2000-07-18,ARTBEAT,South Korea,0,0,F,2000,23
361,Gaga,Lee Soobin,1994-11-10,Gate9,South Korea,164,0,F,1994,29
362,Gaga,Li Jia Jia,1999-09-01,,China,0,0,F,1999,24
363,Gahyeon,Lee Gahyeon,1999-02-03,Dreamcatcher,South Korea,0,0,F,1999,24
364,Gain,Son Gain,1987-09-20,Brown Eyed Girls,South Korea,0,0,F,1987,36
365,Gaon,Beom Gaon,2001-03-09,Bonus Baby,South Korea,163,0,F,2001,22
366,Gaon,Kwak Jiseok,2002-01-14,Xdinary Heroes,South Korea,171,0,M,2002,21
367,Garam,Kim Garam,2005-11-16,,South Korea,170,0,F,2005,18
368,Gayoon,Heo Gayoon,1990-05-18,4minute,South Korea,165,0,F,1990,33
369,Gayoung,Kim Gayoung,1991-12-02,Stellar,South Korea,0,0,F,1991,32
370,Genie,Cho Heejin,2002-03-19,TRACER,South Korea,0,0,F,2002,21
371,Geonu,Lee Geonwoo,2001-02-02,JUST B,South Korea,176,0,M,2001,22
372,Geumhee,Han Geumhee,2005-03-04,CSR,South Korea,0,0,F,2005,18
373,Geummi,Baek Boram,1988-06-18,Crayon Pop,South Korea,165,0,F,1988,35
374,Gihwan,Kim Gihwan,1993-11-24,SIGNAL,South Korea,0,0,M,1993,30
375,Gijung,Kim Gijung,2001-01-24,IM,South Korea,180,0,M,2001,22
376,Gikwang,Lee Gikwang,1990-03-30,Highlight,South Korea,171,58,M,1990,33
377,Giru,Park Giru,1991-08-14,Blady,South Korea,0,0,F,1991,32
378,Giselle,Uchinaga Aeri,2000-10-30,aespa,Japan,166,0,F,2000,23
379,Giseok,Jun Giseok,1997-05-02,IM,South Korea,180,0,M,1997,26
380,GK,Kim Kwanghyun,1998-09-29,DKB,South Korea,177,60,M,1998,25
381,Go_U,Jang Junho,2001-06-15,BLITZERS,South Korea,0,0,M,2001,22
382,Goeun,Na Goeun,1999-09-03,Purple Kiss,South Korea,160,44,F,1999,24
383,Gohn,Kim Dongsung,1992-08-01,,South Korea,0,0,M,1992,31
384,Gohyeon,Go Hyeon,1994-10-01,14U,South Korea,0,0,M,1994,29
385,Gon,Kim Seongjung,1998-11-13,ARGON,South Korea,0,0,M,1998,25
386,Gon,Lee Wonseo,1995-08-07,VANNER,South Korea,180,65,M,1995,28
387,Gongchan,Gong Chansik,1993-08-14,B1A4,South Korea,181,60,M,1993,30
388,Gowon,Park Chaewon,2000-11-19,LOONA,South Korea,0,0,F,2000,23
389,Gowoon,Moon Yujeong,1998-12-18,Berry Good,South Korea,167,0,F,1998,25
390,Gracie,Kim Gaeun,1996-10-28,H.U.B,South Korea,0,0,F,1996,27
391,Gun,Kwak Gun,2001-09-29,14U,South Korea,0,0,M,2001,22
392,Gunil,Go Gunil,1998-07-24,Xdinary Heroes,South Korea,170,0,M,1998,25
393,Gunmin,Lee Gunmin,1994-10-03,B.I.G,South Korea,177,64,M,1994,29
394,Gunwoo,Lee Gunwoo,1989-01-30,MYNAME,South Korea,0,0,M,1989,34
395,Gunwoo,Kim Gunwoo,2002-05-28,T1419,South Korea,0,0,M,2002,21
396,Gunwook,Park Gunwook,2005-10-01,ZEROBASEONE,South Korea,183,0,M,2005,18
397,Gyehyeon,Jo Gyehyeon,1999-05-14,Verivery,South Korea,0,0,M,1999,24
398,Gyeongtae,Kwon Gyeongtae,2000-07-23,14U,South Korea,0,0,M,2000,23
399,Gyujin,Han Gyujin,1997-11-21,UP10TION,South Korea,0,0,M,1997,26
400,Gyumin,Kim Gyumin,2000-12-12,XODIAC,South Korea,175,58,M,2000,23
401,Gyuri,Park Gyuri,1988-05-21,KARA,South Korea,0,0,F,1988,35
402,Gyuri,Jang Gyuri,1997-12-27,,South Korea,0,0,F,1997,26
403,Gyuvin,Kim Gyuvin,2004-08-30,ZEROBASEONE,South Korea,182,0,M,2004,19
404,Habin,Yoo Habin,2002-03-10,,South Korea,165,48,F,2002,21
405,Haebin,Han Haebin,1995-08-16,Gugudan,South Korea,0,0,F,1995,28
406,Haechan,Lee Donghyuk,2000-06-06,NCT,South Korea,0,0,M,2000,23
407,Haein,Yeom Haein,1995-05-19,LABOUM,South Korea,162,45,F,1995,28
408,Haemin,Jung Haemin,2004-03-16,8TURN,South Korea,183,63,M,2004,19
409,Haena,Lee Haena,1991-06-02,Matilda,South Korea,0,165,F,1991,32
410,Haena,Jeon Eunbi,2002-02-19,ANS,South Korea,0,0,F,2002,21
411,Haeri,Lee Haeri,1985-02-14,Davichi,South Korea,0,0,F,1985,38
412,Haeri,Jung Haeri,1997-01-14,P.O.P,South Korea,0,0,F,1997,26
413,Haerin,Kang Haerin,2006-05-15,NewJeans,South Korea,165,0,F,2006,17
414,Haeryeong,Na Haeryeong,1994-11-11,BESTie,South Korea,0,0,F,1994,29
415,Haeun,Yoon Haeun,1999-03-12,3YE,South Korea,163,0,F,1999,24
416,Haeun,Lim Haeun,2008-11-02,Lapillus,South Korea,0,0,F,2008,15
417,Haeun,Lee Haeun,2002-06-25,ARTBEAT,South Korea,157,0,F,2002,21
418,Haewon,Oh Haewon,2003-02-25,NMIXX,South Korea,0,0,F,2003,20
419,Haeyeon,Lee Taeyeon,1994-01-11,Gate9,South Korea,161,0,F,1994,29
420,Haeyoon,Park Haeyoon,1996-01-10,Cherry Bullet,South Korea,157,43,F,1996,27
421,Hajeong,Lee Hajeong,1997-09-23,,South Korea,0,0,F,1997,26
422,Hakmin,Lee Hakmin,2000-09-20,TRCNG,South Korea,171,0,M,2000,23
423,Hamin,Kim Kangmin,2001-11-13,BXB,South Korea,169,0,M,2001,22
424,Hamin,Jo Hamin,1997-10-24,ENOi,South Korea,183,65,M,1997,26
425,Han,Han Jisung,2000-09-14,Stray Kids,South Korea,0,0,M,2000,23
426,Han Geng,Han Geng,1984-02-09,,China,181,66,M,1984,39
427,Han Hyeri,Han Hyeri,1997-08-24,I.B.I,South Korea,159,42,F,1997,26
428,Han Leeseul,Han Jiyoon,2000-02-12,Rockit Girl,South Korea,0,0,F,2000,23
429,Hana,Shin Bora,1993-04-30,Gugudan,South Korea,0,0,F,1993,30
430,Hana,Jung Hana,1990-02-02,SECRET,South Korea,0,0,F,1990,33
431,Hana,Hayase Hana,2000-02-27,ILY:1,Japan,165,0,F,2000,23
432,Hanbin,Ngo Ngoc Hung,1998-01-19,TEMPEST,Vietnam,176,0,M,1998,25
433,Hanbin,Sung Hanbin,2001-06-13,ZEROBASEONE,South Korea,181,0,M,2001,22
434,Hanbin,Choi Hanbin,2007-07-25,The Wind,South Korea,0,0,M,2007,16
435,Hanbyeol,Ahn Hanbyeol,2003-10-13,,South Korea,166,44,F,2003,20
436,Hanbyul,Kyung Hanbyul,2005-07-01,PRECIOUS,South Korea,167,49,F,2005,18
437,Handong,Han Dong,1996-03-26,Dreamcatcher,China,0,0,F,1996,27
438,Haneul,Lee Haneul,1996-06-03,ARGON,South Korea,175,0,M,1996,27
439,Haneul,Choi Haneul,2000-11-28,Saturday,South Korea,158,43,F,2000,23
440,Hangyeom,Song Hangyeom,1996-07-17,OMEGA X,South Korea,0,0,M,1996,27
441,Hangyul,Lee Hangyul,1999-12-07,BAE173,South Korea,177,0,M,1999,24
442,Hani,Ahn Hee-yeon,1992-05-01,EXID,South Korea,168,0,F,1992,31
443,Hankook,Cho Hankook,2002-04-03,TRENDZ,South Korea,0,0,M,2002,21
444,Hanna,Shin Jiyeon,1994-02-19,MIXX,South Korea,170,48,F,1994,29
445,Hannah,Bae Hyunyoung,1999-10-23,Queenz Eye,South Korea,0,0,F,1999,24
446,Hanni,Pham Ngoc Han,2004-10-06,NewJeans,Vietnam,162,0,F,2004,19
447,Hanse,Do Hanse,1997-09-25,VICTON,South Korea,0,0,M,1997,26
448,Hansol,Kim Hansol,1993-06-15,,South Korea,0,0,M,1993,30
449,Hanwoom,Byun Hanwoom,2001-06-05,PRECIOUS,South Korea,160,43,F,2001,22
450,Haram,Kim Haram,2001-01-13,Billlie,South Korea,161,45,F,2001,22
451,Haram,Shin Haram,2007-10-17,BABYMONSTER,South Korea,0,0,F,2007,16
452,Hara†,Koo Hara,1991-01-13,KARA,South Korea,0,0,F,1991,32
453,Hari,,2005-04-08,Girls' World,Japan,0,0,F,2005,18
454,Harin,Ju Harin,1998-03-29,Onewe,South Korea,0,0,M,1998,25
455,Harin,,1995-11-21,Lusty,South Korea,160,43,F,1995,28
456,Harin,Park Guenhye,2000-05-26,Pink Fantasy,South Korea,164,48,F,2000,23
457,Harin,Seo Harin,2000-12-07,BOTOPASS,South Korea,0,0,F,2000,23
458,Harry-June,Han Harry-June,2004-01-01,DKB,South Korea,178,61,M,2004,19
459,Haru,Han Sangsook,1994-07-06,Gate9,South Korea,160,0,F,1994,29
460,Haru,Abe Haruno,2000-02-21,NATURE,Japan,0,0,F,2000,23
461,Haru,Lee Yoojeong,1997-02-26,Ho1iday,South Korea,164,0,F,1997,26
462,Haruna,Osato Haruna,2006-01-30,Billlie,Japan,0,0,F,2006,17
463,Haruto,Watanabe Haruto,2004-04-05,Treasure,Japan,0,0,M,2004,19
464,Haseul,Jo Haseul,1997-08-18,LOONA,South Korea,0,0,F,1997,26
465,Havit,Lee Havit,1999-06-07,TRENDZ,South Korea,0,0,M,1999,24
466,Hayoon,Jung Hayoon,1998-11-21,Bonus Baby,South Korea,163,0,F,1998,25
467,Hayoung,Oh Hayoung,1996-07-19,Apink,South Korea,167,0,F,1996,27
468,Hayoung,Lee Hayoung,1993-08-03,Playback,South Korea,0,0,F,1993,30
469,Hayoung,Choi Hayoung,2000-08-22,TRCNG,South Korea,181,0,M,2000,23
470,Hayoung,Song Hayoung,1997-09-29,fromis_9,South Korea,0,0,F,1997,26
471,Hayuchan,Park Hayuchan,2007-08-21,The Wind,South Korea,0,0,M,2007,16
472,Hayun,Lee Hayun,1994-08-29,,South Korea,0,0,F,1994,29
473,Hayun,Choi Hayun,2004-01-16,Hi-L,South Korea,0,0,F,2004,19
474,Heechan,Yang Heechan,1999-07-31,DKB,South Korea,176,63,M,1999,24
475,Heechul,Kim Heechul,1983-07-10,Super Junior,South Korea,179,60,M,1983,40
476,Heechul,Jung Heechul,1989-12-09,ZE:A,South Korea,0,0,M,1989,34
477,Heedo,Yoon Heedo,1996-04-22,B.I.G,South Korea,180,60,M,1996,27
478,Heejin,Jeon Heejin,2000-10-19,LOONA,South Korea,0,0,F,2000,23
479,Heejin,Song Heejin,1995-08-19,Good Day,South Korea,0,0,F,1995,28
480,Heejoo,Jeon Heejoo,1996-11-30,Ho1iday,South Korea,0,0,F,1996,27
481,Heeju,Chae Heeju,2003-04-04,CMDM,South Korea,0,0,M,2003,20
482,Heejun,Oh Heejun,1996-05-08,KNK,South Korea,180,61,M,1996,27
483,Heeo,Gwak Heeoh,1994-05-02,4TEN,South Korea,0,0,F,1994,29
484,Heeseok,Yun Heeseok,1997-06-10,Limitless,South Korea,180,61,M,1997,26
485,Heeseung,Lee Heeseung,2001-10-15,ENHYPEN,South Korea,0,0,M,2001,22
486,Heesoo,Kim Heesoo,2004-05-12,The Wind,South Korea,0,0,M,2004,19
487,Heesu,Kim Heesu,1998-03-24,Maka Maka,South Korea,0,0,F,1998,25
488,Heesun,Park Heesun,2005-01-25,Pink Fantasy,South Korea,162,45,F,2005,18
489,Heeyu,Choi Heejae,1995-06-30,MIXX,South Korea,159,0,F,1995,28
490,Henny,Kang Gayoung,1994-12-01,,South Korea,168,50,F,1994,29
491,Henry,Henry Lau,1989-10-11,Super Junior-M,Canada,176,63,M,1989,34
492,Heo Chan,Heo Chan,1995-12-14,,South Korea,0,0,M,1995,28
493,High.D,Kim Dohee,1996-12-21,Sonamoo,South Korea,165,0,F,1996,27
494,HighTop,Lim Hyeontae,1994-03-19,Bigflo,South Korea,178,60,M,1994,29
495,Hikaru,Ezaki Hikaru,2004-03-12,Kep1er,Japan,155,0,F,2004,19
496,Himchan,Kim Himchan,1990-04-19,B.A.P,South Korea,180,69,M,1990,33
497,Hina,Nagai Hina,2003-04-07,LIGHTSUM,Japan,0,0,F,2003,20
498,Hitomi,Honda Hitomi,2001-10-06,IZ*ONE,Japan,0,0,F,2001,22
499,Hohyeon,Lee Hohyeon,2001-10-14,TRCNG,South Korea,177,0,M,2001,22
500,Hojoon,Jeon Hojoon,1992-10-31,Topp Dogg,South Korea,0,0,M,1992,31
501,Hojung,Go Hojung,1994-10-20,HOTSHOT,South Korea,0,0,M,1994,29
502,Hongbin,Lee Hongbin,1993-09-29,VIXX,South Korea,181,62,M,1993,30
503,Honggi,Lee Honggi,1990-03-02,FTISLAND,South Korea,0,0,M,1990,33
504,Hongil,Yoon Hongil,1999-01-11,Astin,South Korea,0,0,M,1999,24
505,Hongjoong,Kim Hongjoong,1998-11-07,ATEEZ,South Korea,171,0,M,1998,25
506,Hongseob,Shim Hongseob,1998-01-08,24K,South Korea,177,58,M,1998,25
507,Hongseok,Yang Hongseok,1994-04-17,PENTAGON,South Korea,0,0,M,1994,29
508,Hoon,Yeo Hoonmin,1991-08-16,U-KISS,South Korea,0,0,M,1991,32
509,Hoony,Lee Seunghoon,1992-01-11,WINNER,South Korea,0,0,M,1992,31
510,Hoshi,Kwon Soonyoung,1996-06-15,Seventeen,South Korea,178,63,M,1996,27
511,Hoya,Lee Howon,1991-03-28,,South Korea,178,60,M,1991,32
512,Hoyoung,Bae Hoyoung,1998-08-10,Verivery,South Korea,0,0,M,1998,25
513,Hueningkai,Kai Kamal Huening,2002-08-14,TXT,USA,0,0,M,2002,21
514,Hui,Lee Hwitaek,1993-08-28,PENTAGON,South Korea,0,0,M,1993,30
515,Hui,Liang Hui,1995-07-18,24K,China,178,58,M,1995,28
516,Huihyeon,Ki Huihyeon,1995-06-16,DIA,South Korea,167,46,F,1995,28
517,Huijun,Noh Huijun,2003-10-07,MCND,South Korea,0,0,M,2003,20
518,Huiyeon,Oh Huiyeon,2005-08-01,,South Korea,0,0,F,2005,18
519,Hunter,Papungkorn Lertkiatdamrong,2005-10-05,xikers,Thailand,0,0,M,2005,18
520,Hwall,Heo Hyunjoon,2000-03-09,,South Korea,178,56,M,2000,23
521,Hwanhee,Lee Hwanhee,1998-05-06,UP10TION,South Korea,0,0,M,1998,25
522,Hwani,Jo Sihyeon,1994-11-16,DUSTIN,South Korea,0,0,M,1994,29
523,Hwanwoong,Yeo Hwanwoong,1998-08-26,Oneus,South Korea,0,0,M,1998,25
524,Hwarang,Park Jonghan,1995-12-05,Spectrum,South Korea,0,0,M,1995,28
525,Hwarang,Son Jaewon,2001-04-23,TEMPEST,South Korea,179,61,M,2001,22
526,Hwasa,Ahn Hyejin,1995-07-23,Mamamoo,South Korea,162,44,F,1995,28
527,Hweseung,Yoo Hweseung,1995-02-28,N.Flying,South Korea,0,0,M,1995,28
528,Hwi,Jo Mingyu,2002-09-26,Newkidd,South Korea,0,0,M,2002,21
529,Hwi,Lee Choonghyun,1999-02-04,Ciipher,South Korea,172,61,M,1999,24
530,Hwi,Eun Hwi,2004-11-11,TNX,South Korea,0,0,M,2004,19
531,Hwichan,Lee Heechan,1996-04-18,Limitless,South Korea,0,0,M,1996,27
532,Hwiseo,Jo Hwihyeon,2002-07-31,H1-KEY,South Korea,168,0,F,2002,21
533,Hwiyoung,Kim Youngkyun,1999-05-11,SF9,South Korea,0,0,M,1999,24
534,Hyangsuk,Lee Hyangsuk,1991-04-24,2EYES,South Korea,165,0,F,1991,32
535,Hyebin,Lee Hyebin,1996-01-12,MOMOLAND,South Korea,165,44,F,1996,27
536,Hyebin,Im Hyebin,1999-11-10,Highteen,South Korea,0,0,F,1999,24
537,Hyebin,Kim Hyebin,1997-03-29,AREAL,South Korea,0,0,F,1997,26
538,Hyein,Lee Hyein,2008-04-21,NewJeans,South Korea,170,0,F,2008,15
539,Hyejeong,Shin Hyejeong,1993-08-10,AoA,South Korea,170,48,F,1993,30
540,Hyeji,Jeong Hyeji,1992-04-02,4TEN,South Korea,0,0,F,1992,31
541,Hyejin,Baek Hyejin,1996-11-21,4TEN,South Korea,0,0,F,1996,27
542,Hyejin,Kang Hyejin,2000-07-13,CRAXY,South Korea,0,0,F,2000,23
543,Hyejoo,Park Hyunjoo,1999-01-12,Highteen,South Korea,0,0,F,1999,24
544,Hyeju,Hong Hyeju,2003-12-09,CLASS:y,South Korea,166,0,F,2003,20
545,Hyemi,Pyo Hyemi,1991-04-03,9Muses,South Korea,171,46,F,1991,32
546,Hyemi,Kim Hyemi,1990-08-10,Fiestar,South Korea,161,0,F,1990,33
547,Hyeoeun,Lee Hyoeun,1993-03-16,Stellar,South Korea,0,0,F,1993,30
548,Hyeongjun,Song Hyeongjun,2002-11-30,CRAVITY,South Korea,174,55,M,2002,21
549,Hyeongseok,Chu Hyeongseok,2000-09-13,Astin,South Korea,0,0,M,2000,23
550,Hyeongshin,Kim Hyungshin,2002-05-03,HOT ISSUE,South Korea,0,0,F,2002,21
551,Hyeran,Noh Hyeran,1993-04-09,,South Korea,0,0,F,1993,30
552,Hyeri,Lee Hyeri,1994-06-09,Girl's Day,South Korea,167,46,F,1994,29
553,Hyerim,Woo Hyerim,1992-09-01,Wonder Girls,South Korea,167,0,F,1992,31
554,Hyerin,Seo Hyerin,1993-08-23,EXID,South Korea,165,0,F,1993,30
555,Hyerin,Kim Hyerin,1993-06-13,2EYES,South Korea,170,0,F,1993,30
556,Hyerin,Jeong Hyerin,2007-04-12,tripleS,South Korea,0,0,F,2007,16
557,Hyesung,Park Hyeseong,1996-01-17,VANNER,South Korea,176,56,M,1996,27
558,Hyewon,Kang Hyewon,1999-07-05,IZ*ONE,South Korea,0,0,F,1999,24
559,Hyeyeon,Kang Hyeyeon,1990-12-08,BESTie,South Korea,0,0,F,1990,33
560,Hyeyeon,Cho Hyeyeon,2000-08-05,,South Korea,0,0,F,2000,23
561,Hyogyeong,Jang Hyogyeong,1999-11-15,ARIAZ,South Korea,0,0,F,1999,24
562,Hyojin,Kim Hyojin,1994-04-22,ONF,South Korea,0,0,M,1994,29
563,Hyojung,Choi Hyojung,1994-07-28,Oh My Girl,South Korea,160,46,F,1994,29
564,Hyomin,Park Sunyoung,1989-05-30,T-ara,South Korea,167,43,F,1989,34
565,Hyori,Inn Hyori,2000-06-02,mimiirose,South Korea,161,0,F,2000,23
566,Hyorin,Kim Hyojung,1990-12-11,SISTAR,South Korea,0,0,F,1990,33
567,Hyosun,Lim Hyosun,1998-07-10,H.U.B,South Korea,170,54,F,1998,25
568,Hyosung,Jun Hyoseong,1989-10-13,SECRET,South Korea,0,0,F,1989,34
569,Hyounjoon,Jang Hyounjoon,2008-10-25,The Wind,South Korea,0,0,M,2008,15
570,Hyoyeon,Kim Hyoyeon,1989-09-22,SNSD,South Korea,158,48,F,1989,34
571,Hyuk,Han Sanghyuk,1995-07-05,VIXX,South Korea,181,62,M,1995,28
572,Hyuk,Yang Hyuk,2000-03-15,OMEGA X,South Korea,183,67,M,2000,23
573,Hyuk,Koo Bonhyuk,2000-04-17,TEMPEST,South Korea,0,0,M,2000,23
574,Hyukjin,Jang Hyukjin,1993-12-20,FAVE1,South Korea,0,0,M,1993,30
575,Hyukjin,Son Hyukjin,2003-12-12,WEUS,South Korea,176,57,M,2003,20
576,Hyun,Park Sunghyun,1997-08-25,7 O'clock,South Korea,176,58,M,1997,26
577,HyunA,Kim Hyuna,1992-06-06,4minute,South Korea,164,0,F,1992,31
578,Hyuna,Moon Hyuna,1987-01-19,,South Korea,172,50,F,1987,36
579,Hyunbin,Kwon Hyunbin,1997-03-04,JBJ,South Korea,0,0,M,1997,26
580,Hyunbin,Kim Hyunbin,2004-05-26,TRI.BE,South Korea,0,0,F,2004,19
581,Hyunbin,Moon Hyunbin,2000-02-26,Ciipher,South Korea,177,61,M,2000,23
582,Hyungseo,Myeong Hyeongseo,2001-06-25,CLASS:y,South Korea,160,44,F,2001,22
583,Hyungseok,Song Hyungseok,2002-11-06,YOUNITE,South Korea,0,0,M,2002,21
584,Hyungseop,Ahn Hyungseop,1999-08-09,TEMPEST,South Korea,173,58,M,1999,24
585,Hyungsik,Park Hyungsik,1991-11-16,ZE:A,South Korea,0,0,M,1991,32
586,Hyungwon,Chae Hyungwon,1994-01-15,MONSTA X,South Korea,0,0,M,1994,29
587,Hyunhah,Kim Hyunhah,2000-05-09,CMDM,South Korea,0,0,M,2000,23
588,Hyunho,Lee Hyunho,1998-11-04,D-CRUNCH,South Korea,0,0,M,1998,25
589,Hyunjae,Lee Jaehyun,1997-09-13,The Boyz,South Korea,180,62,M,1997,26
590,Hyunji,Kim Hyunji,1992-06-30,Hashtag,South Korea,165,0,F,1992,31
591,Hyunjin,Kim Hyunjin,2000-11-15,LOONA,South Korea,0,0,F,2000,23
592,Hyunjin,Hwang Hyunjin,2000-03-20,Stray Kids,South Korea,0,0,M,2000,23
593,Hyunjoo,Lee Hyunjoo,1998-02-05,UNI.T,South Korea,0,0,F,1998,25
594,Hyunjun,Lee Hyunjun,1999-12-21,IZ,South Korea,0,0,M,1999,24
595,Hyunjun,Bae Hyunjun,2003-06-06,ATBO,South Korea,180,0,M,2003,20
596,Hyunkyung,Kim Hyunjong,1998-09-05,Romeo,South Korea,0,0,M,1998,25
597,Hyunmin,Byun Hyunmin,1999-04-17,,South Korea,170,0,M,1999,24
598,Hyunoh,Park Hyunoh,1999-02-12,D-CRUNCH,South Korea,0,0,M,1999,24
599,Hyunseo,Go Hyunseo,1999-06-17,,South Korea,0,0,F,1999,24
600,Hyunseong,Shim Hyunseong,1993-06-09,Boyfriend,South Korea,178,58,M,1993,30
601,Hyunseung,Jang Hyunseung,1989-09-03,,South Korea,177,58,M,1989,34
602,Hyunseung,Kim Hyunseung,2002-10-15,YOUNITE,South Korea,0,0,M,2002,21
603,Hyunsik,Lim Hyunsik,1992-03-07,BtoB,South Korea,177,66,M,1992,31
604,Hyunsik,Won Hyunsik,1997-09-12,XODIAC,South Korea,173,53,M,1997,26
605,Hyunsoo,Kim Hyunsoo,1995-04-12,D1CE,South Korea,176,60,M,1995,28
606,Hyunsoo,Jang Hyunsoo,2003-09-16,TNX,South Korea,0,0,M,2003,20
607,Hyunsuk,Choi Hyunsuk,1999-04-21,Treasure,South Korea,0,0,M,1999,24
608,Hyunsuk,Yoon Hyunsuk,2001-09-08,CIX,South Korea,188,0,M,2001,22
609,Hyunuk,Han Hyunuk,1994-09-26,IN2IT,South Korea,179,63,M,1994,29
610,Hyunwoo,Kim Hyunwoo,2001-01-21,BXB,South Korea,173,0,M,2001,22
611,Hyunwoo,Baek Hyunwoo,1999-03-19,D-CRUNCH,South Korea,0,0,M,1999,24
612,Hyunwoo,Choi Hyunwoo,2004-12-04,xikers,South Korea,0,0,M,2004,19
613,Hyunwook,Ji Hyunwook,1998-07-01,D-CRUNCH,South Korea,0,0,M,1998,25
614,Hyunwoong,Kim Hyunwoong,1998-02-08,14U,South Korea,0,0,M,1998,25
615,Hyunyoung,Cho Hyunyoung,1991-08-11,Rainbow,South Korea,160,41,F,1991,32
616,I,Cha Yoonji,1996-12-02,,South Korea,0,0,F,1996,27
617,I.L,Kim Jiwon,1997-07-01,IRRIS,South Korea,0,0,F,1997,26
618,I.M,Lim Changkyun,1996-01-26,MONSTA X,South Korea,0,0,M,1996,27
619,I.N,Yang Jeongin,2001-02-08,Stray Kids,South Korea,0,0,M,2001,22
